"","titles","names","dates","ratings","reviews"
"84"," the journey may have ended, but the legacy will live on
","TheUnknown837-1","28 May 2007","
            
            9/10
            
    ","
                And so, Jackson fulfills his vision of J.R.R. Tolkien's story of Middle-earth and he does so with breathtaking detail and near-flawless artistic craftsmanship. Both previous entries of Jackson's epic ""Lord of the Rings"" trilogy were spectacular achievements. ""Return of the King"" is an eleven Academy Award-winning movie and I suppose it's very worthy of such a title. It pretty much has won all of its Oscars for the entire trilogy, finally scoring big in the Best Picture category. Box office was also incredible, this film is the second biggest hit worldwide, just barely behind James Cameron's superb film ""Titanic"".""Return of the King"" is the conclusion of the trilogy. The stories of Frodo, Gandalf, Sam, Aragorn, and the others comes to a close as the characters all meet their fates. The final battle against the dreaded Sauron begins and there are numerous, almost countless battle sequences throughout the film using combinations of live-action actors in costumes and makeup, and state-of-the-art flawless visual effects created through months of hard work. The giant deranged elephants, trolls, and the sadistic Gollum are all incredibly convincing despite the fact that they are simply an illusion put on the film screen. Sometimes you might be able to guess that they are CGI, but Jackson's skills at directing a medieval battle sequence draws you into the action too much to pay any attention to the detail of the graphics. And you have to look hard to find any possible flaws or weak points.The Lord of the Rings is an amazing film trilogy, definitely one the best, ranking amongst others such as ""Star Wars"". ""Return of the King"" is an amazing achievement as well. Perhaps its only flaw is the excessive running time at nearly four hours in length. Still, that does not make it a disappointment in any way. That is unless you want it to be extremely faithful to Tolkien's original work. For me, it's a great movie.
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"85"," Good but massively over-rated!
","A_Kind_Of_CineMagic","29 April 2009","
            
            8/10
            
    ","
                A lot of people looking on this page will thoroughly disagree and disregard my comments but I feel justified in saying that the Lord of the Rings trilogy and this final part in particular are possibly some of the most over-rated films of all time! I hasten to add that I do like the films and rate them as very good 7 or 8 out of 10 but I just do not see them as the 10/10 all time greats that other people see them as. I love fantasy stories and films in general, I just find these films to be far less impressive than most people appear to think they are. The main thing in the trilogy I find absolutely impressive is Gollum (Andy Serkis). The motion capture performance by Serkis is genius and the CGI character was the best up to that time. Also Gollum is a great character, hilarious, sometimes creepy and fascinating. Also you cannot fault Christopher Lee as Saruman, Ian McKellen as Gandalf and there are other good performances too.Most people who loved the books or loves this kind of story understandably lap the films up enthusiastically. An epic, massive budget presentation of one of the most famous and loved fantasy stories is somewhat irresistible to anyone who likes fantasy stories at all. However, I was a little bit underwhelmed on my first viewing of the films and have remained so with each viewing. They are not bad films at all. They have great spectacle, have some epic action, some scenes with effective humour or emotion and some fine actors but there is a lot I find disappointing. LOTR would be extremely difficult to adapt to film for anybody and I don't think these films do it as well as they could. There is a lot of time wasted unnecessarily and important aspects of story and character are left out or underdeveloped.I find Peter Jackson generally a far from 100% successful director. His version of King Kong is poor and shows his faults even a lot more than the LOTR trilogy. All these Jackson made films are a bit overblown and a little pretentiously directed. Extremely long shots of characters gazing into camera, at each other or into the distance occur so often it is incredible. A great director does not need words to tell a story or convey emotion and the face and eyes of an actor can be used to huge effect. But most shots of characters without dialogue in this trilogy fail to make me feel anything other than they are wasting time! Frodo (Elijah Wood) especially just gazes or gawps for what seems like ages without making me connect with his feelings and without moving the character or story on at all.CGI is the real king in these films and as impressive as many scenes are, it never thrills as much as the real scenery or real action in some older epics. The epic spectacle is therefore not enough to carry me away on its own, it requires great storytelling. Some great storytelling does occur in these films but I do not feel Tolkein's story or characters are done full justice due to Jackson wasting time on 'pretty', glossy, showy film making. A real efficiency and supreme skill was needed to get the most from the source material and this is lacking. For instance, Return of the King misses out important aspects of Aragorn, Feramir and Saruman's stories and I find Frodo comes across as rather petulant, annoying and lacking heroism. Samwise comes across a lot better.A great villain completes a great story. Sauron appears a feeble 'villain' throughout the trilogy. A flaming eye is not exactly Darth Vader! Tolkein created a villain difficult to show effectively on screen and Jackson's presentation of Sauron fails to convey threat or menace at all. Saruman is a good villain and is brilliantly acted by Christopher Lee but has totally insufficient screen time, particularly in the final story where he goes straight to DVD!Overall The Return of the King is easily the weakest of the trilogy for my tastes featuring faults I have listed above, rather overblown CGI action and an extraordinarily dragged out ending.Yes these films are very good but for me they are nowhere near the classics they are reputed to be or that they could have been if perfectly directed.
                
                    25 out of 50 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"86"," Jackson's crowning achievement
","gheremond","19 August 2015","
            
            10/10
            
    ","
                Just like the book it was based on, the third Lord of the Rings movie towers above its siblings and brings the series to a cataclysmic conclusion, in every sense of the word. From its gigantic battle sequences, to its heartbreaking personal moments, Return of the King redefines what is possible in cinema and sets the impossible bar every other masterpiece must be measured against from now on. Clocking in at almost 3 and a half hours in its theatrical cut, it covers most of the material in the book and wins every point for its immensely satisfying coda. Howard Shore gets another two Oscars and Jackson and co are finally paid their dues. I have never been happier on an Oscar night.
                
                    5 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"87"," The greatest adventure film of all-time!
","OriginalMovieBuff21","9 August 2005","
            
            10/10
            
    ","
                There is no epic like The Lord of the Rings: Return of the King. I have never had a better time seeing this movie in theaters. This breathtaking epic, is the third and last installment in The Lord of the Rings. Sam and Frodo are closer and closer to the cracks of Doom while their journey becomes very dangerous along with their guide Gollum helping. Meanwhile the rest of the fellowship try to stop Sauron's army from taking the ring. The movie is pure magical from beginning to end and the characters are all wonderful. Return of the King went very fast for a three and a half hour movie, mostly because I loved it. I have become very obsessed with the trilogy and if you loved the first two Lord of the Rings, you will definitely love the last one as well.Hedeen's Outlook: 10/10!! **** A+
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"88"," Return of the King does Deserve #4 status
","hshowe","22 June 2005","
            
            10/10
            
    ","
                In an era when filmmakers of mediocre ability can get financing to do grunge slash thrillers or sex-pie college comedies of Farrelly-manque nonsense, this poll serves to illustrate the gratitude of fans everywhere at being served such a luscious 9 course meal of a film. Or 3 of them. At the Director's own insistence, the writing, the production, the editing, the art design, the sound planning, the actors/characters, the costumes, the music, the effects. Everything was delivered until the limits almost gave.None of these and ALL of them are the stars.To say this vote reflects only appreciation of the special effects is to disingenuously shoulder aside the leadership and dedication and commitment from ALL teams required to produce not just one but all three films to such incredible standards of consistency to the books, while pleasing worldwide fans, and new audiences, as well as all ages.Schindler's List was not Spielberg's story by authorship any more than Tolkien's was Jackson's, both borrowed a cultural event, one historical, one literary, story to exploit on the big screen using the appropriate talent. That's what filmmakers do. And if they're smart, they get the right material. I don't think Spielberg could have delivered LOTR. But I have a funny feeling PJ might have come close to SL. Both proved their genius by traveling outside their closest strength positions and moved to new arenas. Both borrowed from past projects and knowledge of film to create the dramatic impacts they engineered in those films.You cannot say because one was historically based then it was by that ilk superior.Schindler's List may be the most sociologically impactful movie ever made, but it was not the best. There was exploitation, and the Nazi's character was colored fancifully, and Schindler was not the spitting image of Liam Neesam, etc etc. You can read history without the women prostituting themselves and children lying in outhouse filth. Spielberg made the same kinds of decisions making that movie Jackson did making rings, but each used ""special effects"" of a different kind. Did Naziism happen in black and white?That anyone would seek to disprove Rings popularity by citing the more proximate (and non-disputed) sociological consciousness raised by SL is gaging on the wrong scale. I would not pay to see SL again, once as enough. But I've paid a dozen times (X3)and for the extended DVD's to relive Tolkien's world, because like those characters ""I believe there's something good in this world worth fighting for"". And Jackson's world gives me and others a place to go to encourage us. The films are about Hope.Wasn't THAT the message from Schindler as well?
                
                    13 out of 19 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"89"," Return of the King starts strong...
","Offworld_Colony","6 February 2020","
            
            10/10
            
    ","
                ...and although it loses steam in the middle, the spectacular battle, iconic design work and blistering finale pump it all up to the quality of its fore-films.The film is peppered with cool moments, a dawn raid against the archers of Osgiliath has a total dungeons and dragons feel and Gollum is such a schemer and a villain he's toe-curlingly watchable. The Dead King and co. are a well realised, visually cool bunch of deus ex machina and Gandalf steeling Merry for death is a beautiful moment. The final battle flows extremely well, it's nothing tonally alike to the filthy last stand at Helms Deep, this is trained army vs trained army. The focus of Aragorn's conclusion to be crowned rightfully King is satisfying and the right icing on the cake.Regarding the extended edition, it's made weakest of the three only insofar as the theatrical of Return of the King is the most complete and impressive of the three. However, the opening scenes of Sauron are the most required and missed from the theatrical and I'm in favour of the many endings of this film because after 11 hours of movie, it earns the right to take an hour to draw to a close.
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"90"," The best achievement of all time
","blackmamba99971","11 November 2009","
            
            10/10
            
    ","
                From my reading the books in school, all the movies were kept as true as possible. And it was like following the books in synchro. The return of the king was the greatest movie of all time, the beautiful land scape's and character builds kept me riveted through out the entire trilogy. Peter Jackson by far right now, is quite possibly the most elite director to come to Hollywood. He is now next to James Cameron and also Cecill B Demile for Oscar wins from a movie. Gaining 11 wins with numerous other awards that has helped mold his career even more. This film is absolutely breath taking in scope as well as the deep camaraderie in the story line where not all soldiers are only made to fight. But they are made to understand life through combat. To see each others struggles and hopes and dreams nearly smashed by an ultimate evil. Yet triumph through poise and audacity, to look evil in the eye and come through with a friends life in one hand, and a sword in the other. A true pinnacle in movie making.
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"91"," An epic and spectacular climax to the greatest film trilogy ever created... just pure genius...
","pere-25366","15 October 2017","
            
            10/10
            
    ","
                What a breathtaking end to an epic saga that will go down in cinematic history as the best trilogy that was ever created (if it hasn't already). The culmination of 10 years' work and the final chapter of Peter Jackson fantasy adventure film series, The Return of The King fires on all cylinders, as we follow our favorite middle earth characters in a larger- than-life journey that will lead to the final confrontation between the forces of good and evil. Whereas in FOTR and The Two Towers when we were still learning about our characters and their surroundings, everything about the ring's importance and power is unleashed in this third installment and to great effect.With the exception of maybe only The Godfather Trilogy, the LOTR film series is indisputably the greatest in film history (it was only the second sequel to nab a Best Picture Oscar, the only other being -you guessed it- The Godfather Part II). And what more can actually be said? The breathtaking visuals, the outstanding character development, the epic musical score, gorgeous set designs, the plethora of visually striking creatures - there's never been anything quite like this on screen before. And there never will be again! Never has a film balanced electrifying action and substantial character development so deftly while also staying true to the original source material. It will never cease to amaze me how this was all brought to life. Through this trilogy, Jackson presents us with an unprecedented odyssey of friendship, loyalty, bravery, self-realization and so many other things. In the beginning, we are introduced to a fellowship of 9 individuals who are given the seemingly impossible task of taking the one ring to the blood-curdling world of Mordor with the goal of destroying it and saving middle earth in the process. Over the course of 3 films, our characters learn so much about themselves, about what it means to fight for what you believe in and for something bigger than then yourselves. These themes, and the scale they're presented on, completely transcend the idea of a movie and almost operate on a more biblical and spiritual fashion. And perhaps no film franchise has given us so many memorable characters as LOTR: Frodo, Sam, Merry and Pippin, Aragorn, Legolas, Gimil, Boromir, Gandalf, Elrond, Galadriel, Arwen, Eowyn and countless more. And that's JUST the good guys. We are also given such memorable villains as Gollum, Sauron and Saruman, in addition to the plethora of evil Orcs, Goblins, Demons, Dragons and other horrifying beings. If you think this sounds like a lot, nothing can prepare you for the sheer scope and vast vision of Jackson and his team. The franchise also has some of the most powerful cinematic moments I can recall from the last 40 years (Gandalf yelling ""You Shall Not Pass!"", The Battle of Helms Deep, Sam carrying Frodo up Mount Doom). Iconic doesn't do this franchise justice; it's legendary and it's immortal. It's Lord of the F****** Rings!Above all, Jackson stays true to the major themes and philosophies from the original source material while showcasing his extraordinary cinematic talent and vision. ROTK defines what a ""fantasy"" epic should be and becomes so much more in the process; it's a resonant coming-of-age story and a masterpiece of storytelling and filmmaking. There just aren't enough superlatives for this film. And for this trilogy. And when you do finish it all for the first time, you'll be left sitting there with a feeling of emptiness for having left this magical world but a satisfaction in realizing you just witnessed one of the all-time greatest films and trilogies ever put to celluloid. What a crowning achievement by every single person involved.
                
                    9 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"92"," From the beginning...
","dee.reid","3 August 2005","
            
            10/10
            
    ","
                ...I wasn't sure anyone would have ever guessed (except in a 2004 Fangoria magazine article written by Mexican visionary Guillermo del Toro) that New Zealand native Peter Jackson, the director behind the ""goriest movie ever made"" (1992's ""Dead Alive""), would have been behind the epic three-film installment of ""The Lord of the Rings"" saga, which include ""The Fellowship of the Ring"" (2001), ""The Two Towers"" (2002), and Best Picture Oscar-winner ""The Return of the King"" (2003).***Note*** This comment applies to all three movies, as it will be posted at each individual web page.Not since ""Star Wars"" has this much hype surrounded films of this magnitude. But I guess such hype exists because J.R.R. Tolkien's books have one of the largest devoted fanbases of any popular reading material. I've never read Tolkien's original books, though several readers as well as fans of the movies have told me such knowledge is not required when viewing ""The Lord of the Rings"" films. ""The Lord of the Rings"" is the biggest movie I've ever seen, and there's a whole lot of story, 12+ hours to be exact, and I've spent the last two days viewing the extended versions of all three movies and they are breathtaking. There are many dazzling special effects shots over the course of the trilogy and epic battle sequences to put you in awe (many of which, in my view, do push the limits of the ""PG-13"" rating), not because it's action but because of how precise Jackson's direction is, and how unflinching the camera becomes when it's time for battle. The rousing, epic score by Howard Shore helps the viewer get ""into"" Jackson's vision of Middle-earth, and into the characters and on-screen action. Jackson has also breathtakingly transformed his New Zealand homeland into Tolkien's Middle-earth and when you watch these movies, you feel like you're really there, with the rest of its inhabitants. It is also pretty frightening too, with many jump scenes including the frequent and violent battle sequences between our heroes and ""The Enemy,"" who include the brutish Orcs, Moria Orcs, Ringwraiths, and the unreal entity Sauron. And lastly, the cast does much more than bring the action to life, but instead live (""live"" is italicized) their parts. Of course, I'm talking about the young Hobbits Frodo (Elijah Wood) and Sam (Sean Astin), who come into possession of the ancient One Ring and must journey to the hellish land Mordor to cast the talisman into a river of lava and bring its reign of evil to an end. Along the way, two other Hobbits Merry (Dominic Monaghan) and Pippin (Billy Boyd), necromancer Gandalf (Sir Ian McKellen), warrior Aragorn (Viggo Mortensen), Boromir (Sean Bean), elf Legalos (Orlando Bloom), and dwarf Gimli (John Rhys-Davies) aid them in their quest - together as a ""fellowship of the ring."" There are also plenty of other fantastic supporting roles from Cate Blanchett, Ian Holm, Christopher Lee, Liv Tyler, Hugo Weaving (Agent Smith plays a good guy), and Andy Serkis as the voice of the ever-creepy Gollum. I think J.R.R. Tolkien would be proud of Peter Jackson's take on his material, despite comments I've heard his son has made in undermining the director's vision. Someone once called ""The Lord of the Rings"" the greatest fantasy epic ever made; they were right.10/10
                
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"93"," The end of an epic, unforgettable adventure
","MaxBorg89","13 December 2005","
            
            10/10
            
    ","
                It took J.R.R. Tolkien twelve years to complete this epic trilogy. It took Peter Jackson almost ten years to complete the movie adaptation of that trilogy (he'd been working on it since 1997). It's been a long journey, but it was worth it. Every single step.So, this is the one where it all comes to an end: Frodo(Elijah Wood) must conquer his fears in order to fulfill his mission, the destruction of the One Ring; Aragorn (Viggo Mortensen), on the other hand, is supposed to accept and embrace his fate, which is to reclaim the throne of Gondor, while all the armies available are fighting against the Dark Lord Sauron's forces. The freedom of Middle Earth is at stake...Like in The Two Towers, character development is pretty much ignored in favor of the visually stunning combats (the 50-minute long battle of Pelennor Fields is breathtaking). Actually, that's the only defect of the theatrical version (rating:9/10) of The Return of the King: at 3 hours and 12 minutes it's, ironically, too short, mostly because of the biggest plot hole ever (what happened to Saruman), a scene which is gloriously restored in the extended edition, which is a must-see if you want the complete story.Now, let's talk about the best thing in the movie: Sean Astin. He already proved he was a great actor in the previous films, but in this one he really shines, giving us a tormented, angry, but loyal character, willing to do anything for his master (fans will never forget this line: ""I can't carry it (the Ring) for you! But I can carry YOU!"", probably the single most moving piece of dialogue in the entire trilogy). Shame the Academy overlooked his astounding performance.Well, at least they didn't overlook the entire movie, each one of its 11 Oscars being fully deserved. The Return of the King isn't just the best picture of 2003, it's among the absolutely best movies of all time.Peter Jackson has written a new, exciting page of cinema history, and we will always be grateful for that.
                
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"94"," Thrilling, Gripping, Visually Exciting Conclusion to the Trilogy
","noralee","19 December 2005","
            
            10/10
            
    ","
                ""Lord of the Rings: Return of the King"" is a terrific demonstration of CGI and special effects made to serve a thrilling story of good vs. evil.I came in fully expecting that the ""Return of the King"" aspect would be the story line that would draw me in the most, but found that was given short shrift with a lot of that left out from the book, given over more to cinemascope-worthy battles that are the best since the early ""Star Wars"" movies. If I hadn't read the book recently, let alone re-read the appendices several times to be sure I was getting the prophesies and genealogy straight, I would never have figured out what was going on with Aragorn as the heir to Isildur, as much of what he does to convince doubters is missing. I also was a bit disappointed in Viggo not quite living up to ""LOTR: The Two Towers,"" but I don't know if it was his acting or the dialog, especially in his ""rally the troops"" a.k.a. ""another Crispin's Day speech,"" or if I found his traveling down the Paths of the Dead less frightening, and less motivated, than in the book. His Elvish-language song at the coronation was a nice touch.Second to the battles, the lighting of the bonfires along the mountain tops was both gorgeous and exciting.I am relieved that Eowyn and Faramir's romance shows will show up in the DVD because the sudden appearance of Arwen with an approving father in Minas Tirith is simply a befuddled resolution to the triangular tensions. I am sympathetic, however, about having to leave some things out in a rushed conclusion due to the length as I did have trouble sitting through to the credits, what with the extensive previews tacked on as well.But the Gollum/Smeagol vs. Frodo and Sam competition was instead the more gripping, perhaps because the power of evil is so intensely represented by the close-up interior and exterior struggles of these almost-four characters trekking to Mordor.I didn't mind the multiple endings that others have complained of as I respected the loyalty to the source material.Howard Shore's music was martial without being bombastic, and Annie Lennox's vocalization fit in surprisingly in the over-the-credits song.(originally written 12/28/2003)
                
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"95"," Still a masterpiece!
","zbuuury","29 July 2023","
            
            10/10
            
    ","
                After years and years of rewatching the best trilogy of all time, I can only say that it was a pity that the extended versions where not in the cinema. Would really enjoy at one point a LOTR marathon in cinema with the extended version. It is amazing what kind of effects and storytelling was put in place for this movie and the whole series together. I can only hope that at one point in time at least another movie like this one, not saying a trilogy, will be done so we can enjoy a true marvelous movie with a grand story and characters. Chapeau to everyone from staff to directors!Other than that, still unbeatable!
                
                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"96"," A dazzling masterpiece
","aharmas","1 August 2005","
            
            10/10
            
    ","
                Mr. Jackson has created the perfect ending to an amazing adaptation of the classic literary masterpieces. He has taken an unmanageable array of literary devices and narratives to present us with incredible visual passages, emotional journeys, and seamless blends of new technology and old-fashioned storytelling.Just like its two previous chapters, RTOK is of epic proportions. With the assistance of adept editors, the different story lines are integrated and keep us engaged for nearly 4 hours. We get to the rewarding payoff where all will be resolved.ROTK is a nearly perfect film, and some people might argue that its various endings might lessen the impact of its conclusion. It's hard to walk away from such magnificent storytelling with a simple ending. It's at least interesting to at least explore the many possibilities that such a tale might lead us to.
                
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"97"," Most of low ratings are by purpose!
","xcrisneo","10 February 2020","
            
            10/10
            
    ","
                How can you give one of the greatest movies in cinema history a 1 or 2 rating? Yes if you are a GOT fan or marvel fan you can do that! By purpose only for bringing your sily movies upper on the list.
Any real cinema fan knows that we will not see a masterpiece like this for years.I read one of reviews somebody said that actors and crew took movie too seriously and this is a weak point 😂
                
                    10 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"98"," 20, 19 and 18 years later all three still on top!
","rstySp00n","29 March 2021","
            
            9/10
            
    ","
                Coronaboredom made me watch the whole trilogy again last weekend (2021)
And it's just.astonishing to watch these movies knowing that the first one is from 2001!This movie franchise put the bar so high that all threee are still allmost unmatched by anything that's made in the last 20 years, not just the acting, the.atmosphere and the story, but also the special effects are still great and very watchable.Way better than the Hobbit-series that came out 10 years later.For the die-hard LOTR-fans offcourse the movies isn't exactly like the books, but who cares, if you love adventuremovies and D&D-style role playing games these movies are exactly what you want!!They also has their flaws offcourse,, but that's also because of the story itself, some characters are just a bit ""overpowered"" and some events are just a bit ""too.convenient"" like the army of invincible undead who save the day in the end.The movies are also not really easy-watchings, they are long and the directors cuts are even longer.But the dialoqgues are great, and the gloomy atmosphere of.impending doom just grabs you by the throath.Last years the movies got some backlash ofcourse, because the ""woke"" comunity found out that there are zero as in no actors of color in it, except of the Easterlings maybe.I don't see the issue, the ""Middle Earth"" part of that (fantasy) planet has a moderate climate with harsh winters so like on this planet it's logical that the humans who live their are white.There are also no big harbor/seaside cities in the movie and those are the places where merchants of other parts of the planet would go to trade and there weren't many humans in the first place judging by the movie.The ""age of Men"" had just begun, and offcourse Middle-Earth was a war-zone so why go there in the first place..
With hindsight maybe Peter Jackson could have casted more diversity but who knew this planet would turn out like to be big rock filled with whining people...In the end these three movies are still the greatest adventure movies ever made to this day, unmatched and unrivaled, PERIOD!
                
                    6 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"99"," The Perfect Culmination of A Perfect Trilogy
","cdjh-81125","21 October 2016","
            
            10/10
            
    ","
                Lord of The Rings Return of The King is one of the most universally beloved movies of all time at all the praise it receives could not be more deserved this is an incredible movie that is the definition of how to conclude a trilogy. Lord of The Rings has never been about the battle sequences they are all about the characters and their interactions. Frodo and Sam have some of the best chemistry I've ever seen in a movie they just feel like they are meant to be each other and feel like brothers every time they are on screen. Aragon, Legolas and Gimili are also amazing together not only are they great for producing laughs but they also have a great connection with one and other you see how well they work together and how they have come to trust and love one and other. The constant physiological warfare between Sam and Gollum is made all the more thriller through the opening of this movie which reveals his finding the one ring and in a very disturbing sequence his mental deterioration afterwards. Faramir and his relationship with Theoden is thrilling you always feel for him. The rather odd pairing of Pippin and Gandalf in this movie is also amazing they just feel like each others crutches during their experiences. Though these films have never relied on the battle sequences they've always benefited from them and here they are incredible you feel the stakes because of how well these characters have been developed, you feel the scale of the enemies they are facing and the grittiness of the close quarters combat. This movie contains one of the greatest third acts ever put to film you just know that it's all been building to this and your heart cannot stop beating. The final showdown between Middle-Earth and Saurons army is extremely satisfying especially to see Aragon take his rightful place as king and to see all these different species truly come together as one. Another inspiring sequence is when Sam and Frodo finally arrive at Mount Doom it feels like the perfect culmination of the story arc and seeing these characters succeed despite being all but broken because of it shows us that they're flesh and blood characters with everything to lose. Now I know it's popular to complain about the long ending but it really works it helps to put the events of the entire trilogy into perspective and the final scene with the Hobbits and Gandalf leaves me in tears every single time again because of how feel we have come to know these characters but also let's you know that they have further adventures ahead of them after the credits roll. Return of The King truly is one of the greatest movies ever made there is not one single flaw with it and is the definition of not only how to conclude a trilogy but how to do a movie as a whole. A+-100%
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"100"," Wow just epic!
","razfast","4 April 2020","
            
            10/10
            
    ","
                Not sure how to describe this film, it's too much just too much, best film ever, will leave at that!
                
                    5 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"101"," A Masterpiece!!!
","jszweep","8 March 2022","
            
            10/10
            
    ","
                I still get goosebumps every time I watch this movie. I still at awe with how engaging the story is on screen, how good the visuals have held up even after all this time, and still get emotional with everything going on. It's a wonderful conclusion to an amazing trilogy directed by Peter Jackson, and I wish for this movie to be cherished for years to come!
                
                    3 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"102"," Wonderful finale, sweeping emotions and action
","manalone923","21 January 2004","
            
            10/10
            
    ","
                Where do I start? Those who have already seen this movie don't need a review, and those who haven't will probably never look at my review given the multitudes of others to choose from. So, I'll just say how this movie personally affected me, as a fan of the books and of movies in general. I absolutely loved the original film, Fellowship of the Ring, and did enjoy the Two Towers, though not as much. I loved the emotion of the original (subtle scenes like Frodo's long decision-making boatside scene at the end), and found that the Two Towers was great in action and scope but as a result sort of put character development and characters' feelings into the background. But this makes sense, as the book it was based on dealt more with action and also had the burden of introducing half a dozen important new characters. Return of the King, however, is just simply fantastic. I try to avoid statements like ""gets everything right"", and ""I enjoyed every minute of it"", but in this case, it's true. I was so moved at the presentation of this film that I couldn't help getting misty at the end, despite knowing exactly what would happen (based on the books of course). I credit this to not only the great performances but also the stirring music (Annie Lennox's moving ""Into the West"" is a beautiful tune and perfectly echoes the sentiments of the film's themes). And also, I couldn't help being moved knowing that it was now all over, and there will probably never be another Lord of the Rings epic of this magnitude in my lifetime (and rightfully so). I just felt like I was saying goodbye to old friends.  The movie, although beginning with an important flashback, begins immediately where the second film concluded, and every character has a conclusion. The main part of this movie that I loved is the simple fact that no character is shortchanged; the main characters have their own moments of screen time and good dialogue, from Gandalf telling Pippin what beautiful peace awaits him if he should die in battle, to Sam heroically carrying an exhausted Frodo on his own shoulders through sheer determination. It's all done well, and it takes its time to do it, which I wouldn't have any other way. Whereas Fellowship of the Ring dealt more in emotion and character development and the Two Towers was more hurried and action packed, I was delighted to see that return of the King found a perfect balance between the two and devotes ample time to both. The battle scenes are the grandest in scope and awe, and the highs and lows of sheer emotion are quite gracefully handled as well. And when everything is said and done and the battles are over, there's still a journey home for some of the characters and a good amount of movie left to enjoy. But everything moves along so smoothly, it's sometimes easy to forget that it's a 3 hour and fifteen minute ride. If there isn't action going on, there are scenes of pending action or drama at an almost nonstop rate, making sure that there's something to stop even the most restless from becoming bored. If for some reason you've chosen my review out of the many available, let me at the very least leave you with this, and it will hopefully help you to decide to see it if you haven't yet:  As the finale of a trilogy, this is the masterstroke that ties everything together and is successful on a multitude of levels. It's action packed and stirringly heartfelt at the same time. And finally, from someone who loves the books, I can say that although some omissions were made, the story doesn't falter as a result and the film as a whole was handled in about the most graceful, pleasing way I can imagine. It is, quite honestly, a cinematic masterpiece and a major accomplishment. I left teary eyed, happy for having been thrilled for more than 3 hours, and also quite sad that I don't have another of these films to look forward to.
                
                    8 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"103"," An epic conclusion to an epic saga
","chizzlemoviepicks","26 January 2015","
            
            10/10
            
    ","
                I first watched the LOTR Trilogy when I was 13 y/o. It was my father's favorite movie. Back then, I was not able to understood fully what it is all about but I liked it. I did not love it like I loved Harry Potter back then, but I liked it.Entering High School, I have gotten the chance to re-watch the whole trilogy again and again and again, and this time I absolutely loved it. I became obsessed with the story. Tolkien, created a beautiful world, and wrote about this amazing characters. We see each of the characters' growth as we followed their journey up to the end.The cinematography of all movies are spot on. The sound was done beautifully and the actors gave life to one of the most-loved characters of all time.The Return of The King concludes the story of Middle-Earth, having peace back in their world. We know that CGI can both be the angel and the demon at the same time but with this film, it was done just right. This truly elevated my standard with films. The quality was spectacular and truly a timeless piece.
                
                    3 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
